target_angular,actual_angular,target_velocity,actual_velocity,time
1.3578,1.39721,1.04326,-19.3261,0.188
1.35884,1.37697,1.04791,-20.2482,0.189
1.35989,1.37697,1.05254,-20.2482,0.19
1.36095,1.37697,1.05717,-20.2482,0.191
1.36201,1.37697,1.06178,-20.2482,0.192
1.36307,1.37697,1.06637,-20.2482,0.193
1.36414,1.37697,1.07096,-20.2482,0.194
1.36521,1.25286,1.07553,13.9154,0.195
1.36629,1.25286,1.08009,13.9154,0.196
1.36737,1.25286,1.08464,13.9154,0.197
1.36846,1.25286,1.08918,13.9154,0.198
1.36955,1.25286,1.0937,13.9154,0.199
1.37065,1.25286,1.09821,13.9154,0.2
1.37175,1.53599,1.10271,6.13003,0.201
1.37285,1.53599,1.10719,6.13003,0.202
1.37396,1.53599,1.11166,6.13003,0.203
1.37508,1.53599,1.11612,6.13003,0.204
1.37619,1.53599,1.12057,6.13003,0.205
1.37732,1.53599,1.12501,6.13003,0.206
1.37844,1.53599,1.12943,6.13003,0.207
1.37958,1.38361,1.13384,-19.8434,0.208
1.38071,1.38361,1.13824,-19.8434,0.209
1.38185,0.880444,1.14262,-29.4581,0.21
1.383,0.880444,1.14699,-29.4581,0.211
1.38415,0.880444,1.15135,-29.4581,0.212
1.3853,0.880444,1.1557,-29.4581,0.213
1.38646,0.880444,1.16003,-29.4581,0.214
1.38762,0.908102,1.16435,40.1462,0.215
1.38879,0.946786,1.16866,38.6869,0.216
1.38996,0.946786,1.17296,38.6869,0.217
1.39113,0.946786,1.17724,38.6869,0.218
1.39231,0.946786,1.18151,38.6869,0.219
1.3935,0.946786,1.18577,38.6869,0.22
1.39468,1.46722,1.19001,8.13793,0.221
1.39588,1.46722,1.19424,8.13793,0.222
1.39707,1.46722,1.19846,8.13793,0.223
1.39827,1.46722,1.20267,8.13793,0.224
1.39948,1.46722,1.20686,8.13793,0.225
1.40069,1.38529,1.21104,-13.8244,0.226
1.4019,1.37056,1.21521,-14.7325,0.227
1.40312,1.37056,1.21937,-14.7325,0.228
1.40434,1.37056,1.22351,-14.7325,0.229
1.40556,1.37056,1.22764,-14.7325,0.23
1.40679,1.37056,1.23176,-14.7325,0.231
1.40803,1.20834,1.23586,-16.8598,0.232
1.40926,1.14864,1.23995,-0.240076,0.233
1.41051,1.34704,1.24403,20.0808,0.234
1.41175,1.34704,1.2481,20.0808,0.235
1.413,1.87153,1.25215,31.3707,0.236
1.41426,2.27364,1.25619,15.7532,0.237
1.41552,2.28876,1.26022,15.123,0.238
1.41678,2.28876,1.26423,15.123,0.239
1.41804,2.28876,1.26823,15.123,0.24
1.41931,2.28876,1.27222,15.123,0.241
1.42059,2.28876,1.2762,15.123,0.242
1.42187,2.28876,1.28016,15.123,0.243
1.42315,2.28876,1.28411,15.123,0.244
1.42443,2.28876,1.28805,15.123,0.245
1.42572,2.28876,1.29197,15.123,0.246
1.42702,2.28876,1.29588,15.123,0.247
1.42832,2.28876,1.29978,15.123,0.248
1.42962,2.28876,1.30367,15.123,0.249
1.43092,2.28876,1.30754,15.123,0.25
1.43223,1.80678,1.3114,-39.6433,0.251
1.43355,1.80678,1.31525,-39.6433,0.252
1.43486,1.80678,1.31909,-39.6433,0.253
1.43618,1.80678,1.32291,-39.6433,0.254
1.43751,1.80678,1.32672,-39.6433,0.255
1.43884,1.80678,1.33051,-39.6433,0.256
1.44017,1.80678,1.3343,-39.6433,0.257
1.44151,1.80678,1.33807,-39.6433,0.258
1.44285,1.80678,1.34183,-39.6433,0.259
1.44419,1.80678,1.34557,-39.6433,0.26
1.44554,1.48166,1.34931,4.13963,0.261
1.44689,1.48776,1.35303,6.10388,0.262
1.44824,1.48776,1.35673,6.10388,0.263
1.4496,1.48776,1.36043,6.10388,0.264
1.45096,1.48776,1.36411,6.10388,0.265
1.45233,1.48776,1.36778,6.10388,0.266
1.4537,1.48776,1.37144,6.10388,0.267
1.45507,1.48776,1.37508,6.10388,0.268
1.45645,1.48776,1.37871,6.10388,0.269
1.45783,1.48776,1.38233,6.10388,0.27
1.45922,1.48776,1.38593,6.10388,0.271
1.4606,1.48776,1.38953,6.10388,0.272
1.46199,1.48776,1.39311,6.10388,0.273
1.46339,1.48776,1.39667,6.10388,0.274
1.46479,1.48776,1.40023,6.10388,0.275
1.46619,1.48776,1.40377,6.10388,0.276
1.46759,1.48776,1.4073,6.10388,0.277
1.469,1.48776,1.41082,6.10388,0.278
1.47042,1.48776,1.41432,6.10388,0.279
1.47183,1.50571,1.41781,-7.05533,0.28
1.47325,1.49792,1.42129,-7.79111,0.281
1.47468,1.49792,1.42476,-7.79111,0.282
1.4761,1.49792,1.42821,-7.79111,0.283
1.47753,1.49792,1.43165,-7.79111,0.284
1.47897,1.49792,1.43508,-7.79111,0.285
1.4804,1.49792,1.4385,-7.79111,0.286
1.48184,1.49792,1.4419,-7.79111,0.287
1.48329,1.49792,1.44529,-7.79111,0.288
1.48473,1.49792,1.44867,-7.79111,0.289
1.48618,1.49792,1.45204,-7.79111,0.29
1.48764,1.49792,1.45539,-7.79111,0.291
1.48909,1.49792,1.45873,-7.79111,0.292
1.49055,1.49792,1.46206,-7.79111,0.293
1.49202,1.49792,1.46537,-7.79111,0.294
1.49348,1.49792,1.46868,-7.79111,0.295
1.49496,1.49792,1.47197,-7.79111,0.296
1.49643,1.49792,1.47525,-7.79111,0.297
1.49791,1.43826,1.47851,4.05806,0.298
1.49939,1.44312,1.48177,4.86827,0.299
1.50087,1.44312,1.48501,4.86827,0.3
1.50236,1.44312,1.48824,4.86827,0.301
1.50385,1.44312,1.49145,4.86827,0.302
1.50534,1.44312,1.49466,4.86827,0.303
1.50683,1.44312,1.49785,4.86827,0.304
1.50833,1.44312,1.50103,4.86827,0.305
1.50984,1.44312,1.5042,4.86827,0.306
1.51134,1.44312,1.50735,4.86827,0.307
1.51285,1.44312,1.51049,4.86827,0.308
1.51436,1.44312,1.51362,4.86827,0.309
1.51588,1.44312,1.51674,4.86827,0.31
1.5174,1.44312,1.51985,4.86827,0.311
1.51892,1.44312,1.52294,4.86827,0.312
1.52044,1.44312,1.52602,4.86827,0.313
1.52197,1.44312,1.52909,4.86827,0.314
1.5235,1.44312,1.53215,4.86827,0.315
1.52503,1.44312,1.53519,4.86827,0.316
1.52657,1.52303,1.53822,2.93533,0.317
1.52811,1.52589,1.54124,2.86578,0.318
1.52965,1.52589,1.54425,2.86578,0.319
1.5312,1.52589,1.54725,2.86578,0.32
1.53275,1.52589,1.55023,2.86578,0.321
1.5343,1.52589,1.5532,2.86578,0.322
1.53586,1.52589,1.55616,2.86578,0.323
1.53741,1.52589,1.55911,2.86578,0.324
1.53897,1.52589,1.56205,2.86578,0.325
1.54054,1.52589,1.56497,2.86578,0.326
1.5421,1.52589,1.56788,2.86578,0.327
1.54367,1.52589,1.57078,2.86578,0.328
1.54524,1.52589,1.57367,2.86578,0.329
1.54682,1.52589,1.57655,2.86578,0.33
1.5484,1.52589,1.57941,2.86578,0.331
1.54998,1.52589,1.58226,2.86578,0.332
1.55156,1.52589,1.5851,2.86578,0.333
1.55315,1.52589,1.58793,2.86578,0.334
1.55474,1.52914,1.59074,-1.79584,0.335
1.55633,1.52914,1.59355,-1.79584,0.336
1.55793,1.52914,1.59634,-1.79584,0.337
1.55952,1.52914,1.59912,-1.79584,0.338
1.56112,1.52914,1.60189,-1.79584,0.339
1.56273,1.52914,1.60464,-1.79584,0.34
1.56433,1.52914,1.60739,-1.79584,0.341
1.56594,1.52914,1.61012,-1.79584,0.342
1.56755,1.52914,1.61284,-1.79584,0.343
1.56917,1.52914,1.61555,-1.79584,0.344
1.57078,1.52914,1.61825,-1.79584,0.345
1.5724,1.52914,1.62094,-1.79584,0.346
1.57403,1.52914,1.62361,-1.79584,0.347
1.57565,1.52914,1.62627,-1.79584,0.348
1.57728,1.52914,1.62892,-1.79584,0.349
1.57891,1.52914,1.63156,-1.79584,0.35
1.58054,1.52914,1.63419,-1.79584,0.351
1.58218,1.53323,1.63681,2.91622,0.352
1.58382,1.55439,1.63941,5.09702,0.353
1.58546,1.55992,1.642,5.52949,0.354
1.5871,1.55992,1.64458,5.52949,0.355
1.58875,1.55992,1.64715,5.52949,0.356
1.59039,1.55992,1.64971,5.52949,0.357
1.59204,1.55992,1.65226,5.52949,0.358
1.5937,1.55992,1.65479,5.52949,0.359
1.59535,1.55992,1.65732,5.52949,0.36
1.59701,1.55992,1.65983,5.52949,0.361
1.59867,1.55992,1.66233,5.52949,0.362
1.60034,1.55992,1.66482,5.52949,0.363
1.602,1.55992,1.66729,5.52949,0.364
1.60367,1.55992,1.66976,5.52949,0.365
1.60534,1.55992,1.67221,5.52949,0.366
1.60702,1.55992,1.67466,5.52949,0.367
1.60869,1.55992,1.67709,5.52949,0.368
1.61037,1.55992,1.67951,5.52949,0.369
1.61205,1.58146,1.68192,4.56696,0.37
1.61373,1.5931,1.68432,-1.62259,0.371
1.61542,1.59122,1.6867,-1.88385,0.372
1.61711,1.59122,1.68908,-1.88385,0.373
1.6188,1.59122,1.69144,-1.88385,0.374
1.62049,1.59122,1.69379,-1.88385,0.375
1.62219,1.59122,1.69613,-1.88385,0.376
1.62388,1.59122,1.69846,-1.88385,0.377
1.62558,1.59122,1.70078,-1.88385,0.378
1.62728,1.59122,1.70309,-1.88385,0.379
1.62899,1.59122,1.70539,-1.88385,0.38
1.6307,1.59122,1.70767,-1.88385,0.381
1.6324,1.59122,1.70995,-1.88385,0.382
1.63412,1.59122,1.71221,-1.88385,0.383
1.63583,1.59122,1.71446,-1.88385,0.384
