target_angular,actual_angular,target_velocity,actual_velocity,time
-0.459269,-0.457452,0.478057,-1.76953,0.198
-0.458792,-0.457452,0.475404,-1.76953,0.199
-0.458318,-0.457452,0.472753,-1.76953,0.2
-0.457846,-0.490697,0.470105,-0.511209,0.201
-0.457378,-0.490697,0.467461,-0.511209,0.202
-0.456912,-0.490697,0.46482,-0.511209,0.203
-0.456448,-0.490697,0.462182,-0.511209,0.204
-0.455987,-0.490697,0.459547,-0.511209,0.205
-0.455529,-0.490697,0.456915,-0.511209,0.206
-0.455073,-0.490697,0.454287,-0.511209,0.207
-0.45462,-0.466655,0.451661,2.79182,0.208
-0.45417,-0.466655,0.449039,2.79182,0.209
-0.453722,-0.389158,0.44642,4.89419,0.21
-0.453277,-0.389158,0.443804,4.89419,0.211
-0.452835,-0.389158,0.441191,4.89419,0.212
-0.452395,-0.389158,0.438581,4.89419,0.213
-0.451957,-0.389158,0.435975,4.89419,0.214
-0.451523,-0.390458,0.433371,-6.33507,0.215
-0.451091,-0.396571,0.430771,-6.11272,0.216
-0.450661,-0.396571,0.428173,-6.11272,0.217
-0.450234,-0.396571,0.425579,-6.11272,0.218
-0.44981,-0.396571,0.422988,-6.11272,0.219
-0.449388,-0.396571,0.4204,-6.11272,0.22
-0.448969,-0.478534,0.417815,-1.3508,0.221
-0.448553,-0.478534,0.415233,-1.3508,0.222
-0.448139,-0.478534,0.412655,-1.3508,0.223
-0.447727,-0.478534,0.410079,-1.3508,0.224
-0.447319,-0.478534,0.407506,-1.3508,0.225
-0.446912,-0.468908,0.404937,2.00226,0.226
-0.446509,-0.466748,0.40237,2.15959,0.227
-0.446108,-0.466748,0.399807,2.15959,0.228
-0.445709,-0.466748,0.397246,2.15959,0.229
-0.445313,-0.466748,0.394689,2.15959,0.23
-0.44492,-0.466748,0.392134,2.15959,0.231
-0.444529,-0.441447,0.389583,2.79306,0.232
-0.444141,-0.429371,0.387034,0.49423,0.233
-0.443755,-0.448948,0.384489,-2.15429,0.234
-0.443372,-0.448948,0.381946,-2.15429,0.235
-0.442991,-0.504446,0.379407,-3.01047,0.236
-0.442613,-0.538985,0.37687,-1.30897,0.237
-0.442237,-0.540253,0.374337,-1.26796,0.238
-0.441864,-0.540253,0.371806,-1.26796,0.239
-0.441494,-0.540253,0.369278,-1.26796,0.24
-0.441126,-0.540253,0.366753,-1.26796,0.241
-0.44076,-0.540253,0.364232,-1.26796,0.242
-0.440397,-0.540253,0.361713,-1.26796,0.243
